Question,Answer
What is the name of the episode where Ross says Rachel's name at the altar?,"""The One With Ross's Wedding, Part Two."""
"What is the ""Smelly Cat"" song about?",It's about a cat that smells bad and is generally outcast.
What is the famous game show hosted by Joey?,"""Bamboozled"" (though he just auditioned for it, never truly hosted it)."
What did Ross do with his sister Monica's fat pictures?,He used them to blackmail her sometimes.
What is the name of the episode where Phoebe gives birth to triplets?,"""The One Hundredth"" (also known as ""The One With Phoebe's Uterus"")."
What was the big secret about Monica's apartment that Ross and Chandler uncovered?,That Monica's family rented the apartment illegally for years under a different name.
What is the iconic opening scene of the show?,The friends sitting on the couch at Central Perk.
What is the annual Geller family tradition that involves football?,The Geller Cup during Thanksgiving.
"What is the significance of the ""pivot!"" scene?","It's a memorable scene where Ross, Chandler, and Rachel struggle to move a couch up a stairwell."
What is the name of the Friends spin-off series?,Joey.
What was the running gag involving Joey's refrigerator?,"His refrigerator was often broken or empty, and he'd ask others for food."
"What is the ""Unagi"" concept Ross tries to teach?",A state of total awareness or readiness.
What was the significant change to Joey's apartment after Chandler moved out?,Joey got a bigger TV and two recliners.
What is the name of the Geller family's traditional holiday Armadillo character?,The Holiday Armadillo.
What was the outcome of the big apartment bet between the guys and the girls?,"The guys won and got the girls' apartment, but later gave it back."
Which character was originally intended to be gay?,"Originally, Phoebe was intended to be more ""alternative,"" which included being bisexual."
How much did the main cast earn per episode by the final season?,Each of the six main cast members earned $1 million per episode.
What is the name of the actor who played Gunther?,James Michael Tyler.
What is the name of the street where the Friends apartment building is supposedly located?,The building is supposedly located at 495 Grove Street (though the actual building used for exterior shots is at 90 Bedford Street).
Was the Central Perk set a real coffee shop?,"No, the Central Perk set was a soundstage set built for the show."
